,Country,Indicator,2018
0,Afghanistan,"Preprimary education, duration (years)",1.0
1,Albania,"Preprimary education, duration (years)",5.0
2,Algeria,"Preprimary education, duration (years)",1.0
3,American Samoa,"Preprimary education, duration (years)",
4,Andorra,"Preprimary education, duration (years)",3.0
5,Angola,"Preprimary education, duration (years)",2.0
6,Antigua and Barbuda,"Preprimary education, duration (years)",5.0
7,Argentina,"Preprimary education, duration (years)",6.0
8,Armenia,"Preprimary education, duration (years)",3.0
9,Aruba,"Preprimary education, duration (years)",2.0
10,Australia,"Preprimary education, duration (years)",4.0
11,Austria,"Preprimary education, duration (years)",6.0
12,Azerbaijan,"Preprimary education, duration (years)",5.0
13,"Bahamas, The","Preprimary education, duration (years)",2.0
14,Bahrain,"Preprimary education, duration (years)",5.0
15,Bangladesh,"Preprimary education, duration (years)",3.0
16,Barbados,"Preprimary education, duration (years)",5.0
17,Belarus,"Preprimary education, duration (years)",4.0
18,Belgium,"Preprimary education, duration (years)",6.0
19,Belize,"Preprimary education, duration (years)",2.0
20,Benin,"Preprimary education, duration (years)",2.0
21,Bermuda,"Preprimary education, duration (years)",1.0
22,Bhutan,"Preprimary education, duration (years)",2.0
23,Bolivia,"Preprimary education, duration (years)",2.0
24,Bosnia and Herzegovina,"Preprimary education, duration (years)",5.0
25,Botswana,"Preprimary education, duration (years)",3.0
26,Brazil,"Preprimary education, duration (years)",6.0
27,British Virgin Islands,"Preprimary education, duration (years)",5.0
28,Brunei Darussalam,"Preprimary education, duration (years)",3.0
29,Bulgaria,"Preprimary education, duration (years)",4.0
30,Burkina Faso,"Preprimary education, duration (years)",3.0
31,Burundi,"Preprimary education, duration (years)",2.0
32,Cabo Verde,"Preprimary education, duration (years)",3.0
33,Cambodia,"Preprimary education, duration (years)",6.0
34,Cameroon,"Preprimary education, duration (years)",2.0
35,Canada,"Preprimary education, duration (years)",3.0
36,Cayman Islands,"Preprimary education, duration (years)",4.0
37,Central African Republic,"Preprimary education, duration (years)",3.0
38,Chad,"Preprimary education, duration (years)",3.0
39,Channel Islands,"Preprimary education, duration (years)",
40,Chile,"Preprimary education, duration (years)",6.0
41,China,"Preprimary education, duration (years)",3.0
42,Colombia,"Preprimary education, duration (years)",6.0
43,Comoros,"Preprimary education, duration (years)",3.0
44,"Congo, Dem. Rep.","Preprimary education, duration (years)",3.0
45,"Congo, Rep.","Preprimary education, duration (years)",3.0
46,Costa Rica,"Preprimary education, duration (years)",6.0
47,Cote d'Ivoire,"Preprimary education, duration (years)",3.0
48,Croatia,"Preprimary education, duration (years)",6.0
49,Cuba,"Preprimary education, duration (years)",6.0
50,Curacao,"Preprimary education, duration (years)",2.0
51,Cyprus,"Preprimary education, duration (years)",6.0
52,Czech Republic,"Preprimary education, duration (years)",3.0
53,Denmark,"Preprimary education, duration (years)",6.0
54,Djibouti,"Preprimary education, duration (years)",2.0
55,Dominica,"Preprimary education, duration (years)",5.0
56,Dominican Republic,"Preprimary education, duration (years)",3.0
57,Ecuador,"Preprimary education, duration (years)",3.0
58,"Egypt, Arab Rep.","Preprimary education, duration (years)",2.0
59,El Salvador,"Preprimary education, duration (years)",7.0
60,Equatorial Guinea,"Preprimary education, duration (years)",6.0
61,Eritrea,"Preprimary education, duration (years)",2.0
62,Estonia,"Preprimary education, duration (years)",7.0
63,Eswatini,"Preprimary education, duration (years)",3.0
64,Ethiopia,"Preprimary education, duration (years)",3.0
65,Faroe Islands,"Preprimary education, duration (years)",
66,Fiji,"Preprimary education, duration (years)",3.0
67,Finland,"Preprimary education, duration (years)",6.0
68,France,"Preprimary education, duration (years)",3.0
69,French Polynesia,"Preprimary education, duration (years)",
70,Gabon,"Preprimary education, duration (years)",3.0
71,"Gambia, The","Preprimary education, duration (years)",5.0
72,Georgia,"Preprimary education, duration (years)",3.0
73,Germany,"Preprimary education, duration (years)",6.0
74,Ghana,"Preprimary education, duration (years)",5.0
75,Gibraltar,"Preprimary education, duration (years)",4.0
76,Greece,"Preprimary education, duration (years)",6.0
77,Greenland,"Preprimary education, duration (years)",
78,Grenada,"Preprimary education, duration (years)",5.0
79,Guam,"Preprimary education, duration (years)",
80,Guatemala,"Preprimary education, duration (years)",7.0
81,Guinea,"Preprimary education, duration (years)",5.0
82,Guinea-Bissau,"Preprimary education, duration (years)",3.0
83,Guyana,"Preprimary education, duration (years)",3.0
84,Haiti,"Preprimary education, duration (years)",6.0
85,Honduras,"Preprimary education, duration (years)",3.0
86,"Hong Kong SAR, China","Preprimary education, duration (years)",3.0
87,Hungary,"Preprimary education, duration (years)",5.0
88,Iceland,"Preprimary education, duration (years)",6.0
89,India,"Preprimary education, duration (years)",3.0
90,Indonesia,"Preprimary education, duration (years)",6.0
91,"Iran, Islamic Rep.","Preprimary education, duration (years)",1.0
92,Iraq,"Preprimary education, duration (years)",2.0
93,Ireland,"Preprimary education, duration (years)",5.0
94,Isle of Man,"Preprimary education, duration (years)",
95,Israel,"Preprimary education, duration (years)",6.0
96,Italy,"Preprimary education, duration (years)",3.0
97,Jamaica,"Preprimary education, duration (years)",6.0
98,Japan,"Preprimary education, duration (years)",3.0
99,Jordan,"Preprimary education, duration (years)",2.0
100,Kazakhstan,"Preprimary education, duration (years)",6.0
101,Kenya,"Preprimary education, duration (years)",3.0
102,Kiribati,"Preprimary education, duration (years)",3.0
103,"Korea, Dem. People's Rep.","Preprimary education, duration (years)",4.0
104,"Korea, Rep.","Preprimary education, duration (years)",5.0
105,Kosovo,"Preprimary education, duration (years)",
106,Kuwait,"Preprimary education, duration (years)",2.0
107,Kyrgyz Republic,"Preprimary education, duration (years)",6.0
108,Lao PDR,"Preprimary education, duration (years)",6.0
109,Latvia,"Preprimary education, duration (years)",6.0
110,Lebanon,"Preprimary education, duration (years)",3.0
111,Lesotho,"Preprimary education, duration (years)",3.0
112,Liberia,"Preprimary education, duration (years)",3.0
113,Libya,"Preprimary education, duration (years)",2.0
114,Liechtenstein,"Preprimary education, duration (years)",7.0
115,Lithuania,"Preprimary education, duration (years)",7.0
116,Luxembourg,"Preprimary education, duration (years)",3.0
117,"Macao SAR, China","Preprimary education, duration (years)",3.0
118,Madagascar,"Preprimary education, duration (years)",3.0
119,Malawi,"Preprimary education, duration (years)",3.0
120,Malaysia,"Preprimary education, duration (years)",2.0
121,Maldives,"Preprimary education, duration (years)",3.0
122,Mali,"Preprimary education, duration (years)",3.0
123,Malta,"Preprimary education, duration (years)",
124,Marshall Islands,"Preprimary education, duration (years)",2.0
125,Mauritania,"Preprimary education, duration (years)",6.0
126,Mauritius,"Preprimary education, duration (years)",3.0
127,Mexico,"Preprimary education, duration (years)",6.0
128,"Micronesia, Fed. Sts.","Preprimary education, duration (years)",3.0
129,Moldova,"Preprimary education, duration (years)",6.0
130,Monaco,"Preprimary education, duration (years)",3.0
131,Mongolia,"Preprimary education, duration (years)",4.0
132,Montenegro,"Preprimary education, duration (years)",5.0
133,Morocco,"Preprimary education, duration (years)",5.0
134,Mozambique,"Preprimary education, duration (years)",3.0
135,Myanmar,"Preprimary education, duration (years)",5.0
136,Namibia,"Preprimary education, duration (years)",
137,Nauru,"Preprimary education, duration (years)",3.0
138,Nepal,"Preprimary education, duration (years)",2.0
139,Netherlands,"Preprimary education, duration (years)",3.0
140,New Caledonia,"Preprimary education, duration (years)",
141,New Zealand,"Preprimary education, duration (years)",5.0
142,Nicaragua,"Preprimary education, duration (years)",6.0
143,Niger,"Preprimary education, duration (years)",3.0
144,Nigeria,"Preprimary education, duration (years)",5.0
145,North Macedonia,"Preprimary education, duration (years)",5.0
146,Northern Mariana Islands,"Preprimary education, duration (years)",
147,Norway,"Preprimary education, duration (years)",5.0
148,Oman,"Preprimary education, duration (years)",6.0
149,Pakistan,"Preprimary education, duration (years)",2.0
150,Palau,"Preprimary education, duration (years)",3.0
